id,name,category,xref,provided_by
HP:0025181,Abdominal aseptic abscess,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0002027,Abdominal pain,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0003115,Abnormal EKG,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0006919,"Abnormal aggressive, impulsive or violent behavior",biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0003119,Abnormal circulating lipid concentration,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0032309,Abnormal granulocyte count,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0040088,Abnormal lymphocyte count,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0033072,Abnormal macroscopic urine appearance,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0011991,Abnormal neutrophil count,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0012086,Abnormal urinary color,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0032943,Abnormal urine pH,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0011016,Abnormality of urine glucose concentration,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
NCIT:C3586,Acute Lymphoblastic Leukemia in Remission,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
NCIT:C3588,Acute Myeloid Leukemia in Remission,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0200119,Acute hepatitis,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0001919,Acute kidney injury,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
MONDO:0009410,Addison disease,biolink:Disease,NA,EHR Risk Provider (Multiomics)
NCIT:C141278,Adenovirus Positive,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
MONDO:0004975,Alzheimer disease,biolink:Disease,NA,EHR Risk Provider (Multiomics)
HP:0001681,Angina pectoris,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
SNOMEDCT:47049007,Ankylosis of spine (disorder),biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0000739,Anxiety,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
NCIT:C50815,Aortic Valve Replacement,biolink:Procedure,NA,EHR Risk Provider (Multiomics)
HP:0002829,Arthralgia,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0001369,Arthritis,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
SNOMEDCT:48440001,Arthritis due to gout (disorder),biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
NCIT:C52007,Arthrodesis,biolink:Procedure,NA,EHR Risk Provider (Multiomics)
NCIT:C51691,Arthroplasty,biolink:Procedure,NA,EHR Risk Provider (Multiomics)
NCIT:C38033,Arthroscopy,biolink:Procedure,NA,EHR Risk Provider (Multiomics)
HP:0025406,Asthenia,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0001251,Ataxia,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
SNOMEDCT:237519003,Autoimmune hypothyroidism (disorder),biolink:Disease,NA,EHR Risk Provider (Multiomics)
SNOMEDCT:66944004,Autoimmune thyroiditis (disorder),biolink:Disease,NA,EHR Risk Provider (Multiomics)
MONDO:0004948,B-cell chronic lymphocytic leukemia,biolink:Disease,NA,EHR Risk Provider (Multiomics)
HP:0003418,Back pain,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
MONDO:0013662,Barrett esophagus,biolink:Disease,NA,EHR Risk Provider (Multiomics)
HP:0000708,Behavioral abnormality,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
MONDO:0005665,Bell's palsy,biolink:Disease,NA,EHR Risk Provider (Multiomics)
NCIT:C15546,Breast Cancer Screening,biolink:Procedure,NA,EHR Risk Provider (Multiomics)
HP:0032408,Breast mass,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0002059,Cerebral atrophy,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0002637,Cerebral ischemia,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0002318,Cervical myelopathy,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
SNOMEDCT:54404000,Cervical radiculopathy (disorder),biolink:Disease,NA,EHR Risk Provider (Multiomics)
HP:0100749,Chest pain,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0031352,Chest tightness,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
NCIT:C3587,Chronic Lymphocytic Leukemia in Remission,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0200123,Chronic hepatitis,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
NCIT:C146650,Clostridium difficile Positive,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0002019,Constipation,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0012735,Cough,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
MONDO:0005011,Crohn disease,biolink:Disease,NA,EHR Risk Provider (Multiomics)
HP:0003233,Decreased HDL cholesterol concentration,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0003563,Decreased LDL cholesterol concentration,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0031808,Decreased basophil count,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0031507,Decreased circulating T4 level,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0012343,Decreased circulating ferritin concentration,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
HP:0033078,Decreased circulating free T4 level,biolink:PhenotypicFeature,NA,EHR Risk Provider (Multiomics)
